questionID,category,sets,question,A,B,C,D,AnswerKey
Mercury_7085960,Train,easy,The magnitude of the gravitational force between two planets depends on the , speed the planets rotate. , other nearby planets. , volume of the planets. , distance between the planets.,D
NYSEDREGENTS_2009_4_19,Train,easy,"Since green plants make their own food, they are called ", predators , prey , decomposers , producers,D
MCAS_2003_8_2,Train,easy,The best evidence that two land areas were once connected is the discovery that both land masses , have the same climate. , are in the same stage of succession. , exist along the same line of longitude. , have similar types of rocks and fossils.,D
MCAS_2007_5_4795,Train,easy,Rachel purchased a kit for making a skateboard ramp. Which of the following is most important to have for putting the ramp together? , a picture showing the colors of different ramp parts , a diagram showing some ways to use the ramp , a list of prices for other available kits , a set of instructions for the kit materials,D
Mercury_7029925,Train,easy,Which best describes the function of the small intestine? , oxygenation of tissue , excretion of toxic wastes , transportation of blood cells , digestion and absorption of food,D
Mercury_179603,Train,easy,Animals that eat both plant matter and meat are referred to as , decomposers. , scavengers. , herbivores. , omnivores.,D
AIMS_2009_4_6,Train,easy,Alex looked at an electric toothbrush that had a plug with three metal prongs. Why are these prongs made out of metal? , Metal doesn't get hot and melt when you plug it into the outlet. , Metal is strong and is less likely to break when you plug it into the outlet. , Metal is an insulator and prevents shocks when you plug it into the outlet. , Metal is a conductor and completes a circuit when you plug it into the outlet.,D
TIMSS_2007_4_pg29,Train,easy,Where do plants get energy from to make food? , air , soil , water , sunlight,D
MCAS_2002_5_18,Train,easy,Which of the following is most likely to cause water to change from one state of matter to another state of matter? , increased precipitation , the weathering of rocks , a decrease in wind speed , a change in air temperature,D
Mercury_7086713,Train,easy,The sediments found in a riverbed are most likely a result of which action on nearby rock? , heat , faulting , pressure , weathering,D
Mercury_7043120,Train,easy,"A scientist developed a model that described the actions of DNA in the cell nuclei, which helped explain how traits were inherited. Which scientist helped develop this model? ", Bohr , Hooke , Mendel , Watson,D
ACTAAP_2007_7_1,Train,easy,"Which correctly arranges three scientific terms-theory, law, and hypothesis-from least to most accepted or tested? "," theory, hypothesis, law "," hypothesis, law, theory "," theory, law, hypothesis "," hypothesis, theory, law",D
Mercury_400686,Train,easy,"The metal lid on a glass jar is hard to open, so it is held under warm, running water. What causes the jar to open easily after it was held under the water? ", The water increased the pressure under the lid. , The jar shrunk with the warm water. , The water acted as a lubricant between the glass and the metal. , The metal lid expanded under warm water.,D
OHAT_2008_8_33,Train,easy,What is the relationship between tissues and organs? , Organs are made from one type of tissue. , Tissues are made from one type of organ. , Tissues are made from different types of organs. , Organs are made from different types of tissues.,D
NYSEDREGENTS_2007_4_2,Train,easy,What form of energy causes an ice cube to melt? , mechanical , magnetic , sound , heat,D
Mercury_7236110,Train,easy,The incompleteness of the fossil record results primarily from which phenomenon? , the frequency and irregular timing of organism speciations , the metamorphosis of most sedimentary rock by heat and pressure , the geologically rapid cycling of crust material back into the mantle , the rarity with which organic remains are exposed to fossil-forming conditions,D
Mercury_7029943,Train,easy,The bonding of oxygen to red blood cells is important to the body because it enables the body to , absorb nutrients from food. , make energy from light. , maintain a constant temperature. , perform aerobic respiration in cells.,D
ACTAAP_2013_5_15,Train,easy,"Compared to other stars in our galaxy, which is the best description of our Sun? "," larger size, higher temperature "," smaller size, higher temperature "," larger size, average temperature "," average size, average temperature",D
Mercury_7042875,Train,easy,"A student is working on a science project display for the school science fair. To best communicate why her conclusions are valid, what should be included on the display? ", a list of authoritative sources that supports her conclusion , instructions for viewers to repeat her procedures , clearly illustrated diagrams of the scientific principles involved , a complete write-up of her experimental method and data collected,D
Mercury_7082828,Train,easy,Which of these processes is a conversion made by solar panels? , mechanical energy to nuclear energy , thermal energy to chemical energy , kinetic energy to potential energy , radiant energy to electrical energy,D
Mercury_SC_413003,Train,easy,A mountain range has hills around its edges. How are the mountains and hills alike? , Both have grass at the top. , Both are at least 1000 meters tall. , Both have liquid rock at their centers. , Both are taller than the land around them.,D
Mercury_7094430,Train,easy,Human muscle cells need nutrients and oxygen during exercise. The human body is able to meet the needs of the muscle cells during exercise by increasing , digestion. , excretion. , secretion. , circulation.,D
Mercury_SC_408361,Train,easy,Phyllis investigated what happened when she added some different substances to water. Which substance can combine with water to form a solution? , oil , rocks , soil , sugar,D
Mercury_7068653,Train,easy,Which resource has the most potential for production of renewable electric energy? , coal , oil , natural gas , geothermal,D
ACTAAP_2009_7_13,Train,easy,A wind turbine primarily uses which type of energy? , nuclear , thermal , chemical , mechanical,D
Mercury_7016205,Train,easy,What would a warm air mass over the ocean most likely cause? , earthquake , snowfall , tsunami , rainfall,D
Mercury_7013615,Train,easy,"In the 17th century, Gregor Mendel crossed pea plants with different traits and observed the results in their offspring. To which of these did Mendel contribute most directly with his work? ", medicine , agriculture , science of force and motion , science of heredity and variation,D
MCAS_2007_5_4772,Train,easy,Delilah put a container of water in the freezer and left it there overnight. The next morning she saw that the water in the container had changed to ice. Which of the following statements best explains why the water changed to ice? , The water gained energy. , The water absorbed light. , Mass was released from the water. , Heat was taken away from the water.,D
TIMSS_2007_8_pg97,Train,easy,An Earth year is the length of time it takes for , Earth to rotate once on its axis , the Moon to revolve once around Earth , the Sun to revolve once around Earth , Earth to revolve once around the Sun,D
Mercury_SC_400129,Train,easy,The formation of coal deposits occurred over millions of years. Which feature was most responsible for these deposits? , barren deserts , active volcanoes , mountains covered in trees , swamps with dense vegetation,D
Mercury_7164500,Train,easy,A teacher is performing a demonstration about static electricity for his class by rubbing a balloon against a wool sweater. The balloon sticks to the wool sweater. Which particles are exchanged during the demonstration? , atoms , protons , neutrons , electrons,D
LEAP__7_10353,Train,easy,A scientist plans to investigate the nervous system of sea slugs. What should the scientist do first? , Develop a theory about sea slugs that can be tested. , Go to the ocean to observe the behavior of sea slugs. , Obtain several sea slugs and conduct experiments with them. , Review the research other scientists have done on sea slugs.,D
Mercury_7024973,Train,easy,"The human body has an average, normal temperature of about 98.6ºF. To keep the core body temperature from becoming too high, the brain sends a signal to the body to ", decrease sugar levels in the blood. , increase sugar levels in the blood. , decrease blood flow to the skin. , increase blood flow to the skin.,D
Mercury_7017833,Train,easy,What is the most prominent land feature formed by the convergence of the Indo-Australian and Eurasian plates? , China , Australia , Ural Mountains , Himalaya Mountains,D
Mercury_7217893,Train,easy,Which of these is a freshwater reservoir? , Gulf of Mexico , Pacific Ocean , Atlantic tidal basin , Antarctic polar ice,D
Mercury_SC_400326,Train,easy,Birds eat non-camouflaged moths at a higher rate than they eat camouflaged moths. In which situation would birds eat the moths at the slowest rate? , dark moths in any environment , light moths in any environment , dark moths in a light environment , light moths in a light environment,D
Mercury_SC_408894,Train,easy,An eagle is a bird that reproduces by laying its eggs in a dry nest. Which animal lays its eggs in a place most similar to the eagle? , amphibian , fish , mammal , reptile,D
Mercury_401993,Train,easy,The chemical formula for water is H_{2}O. What does the formula show about each element in the compound? , the number of valence electrons , the charge of the compound , the mass of protons in each atom , the number of atoms of each element,D
Mercury_7077630,Train,easy,The smallest part of an element that retains the properties of the element is the , proton. , nucleus. , electron. , atom.,D
MCAS_2007_8_5161,Train,easy,"A manufacturer wants to produce a container for food storage that does not break easily and is airtight, inexpensive, and microwave-safe. Which of the following is the best material to use to make the container? ", glass , metal , paper , plastic,D
Mercury_7217543,Train,easy,Juvenile diabetes is a disease caused by the body's inability to create insulin. The body's white blood cells attack the pancreatic cells that produce insulin. This type of disease is known as , a cardiovascular disease. , an infectious disease. , a digestive system disease. , an autoimmune disease.,D
MCAS_2007_8_5186,Train,easy,Which of the following is a characteristic of all chemical changes? , A different state of matter is produced. , Some mass is converted to energy. , Some form of light is given off. , A new material is formed.,D
Mercury_7267820,Train,easy,Which of the following is a reason life in the outermost planets is less likely than life on planets nearer the Sun? , They have too little mass. , They have too much mass. , Their surfaces are extremely hot. , Their surfaces are extremely cold.,D
Mercury_SC_408781,Train,easy,Nonrenewable sources of energy have limited supplies. Researchers are developing devices that will make renewable energy more available. Which is a source of renewable energy? , coal , gasoline , oil , wind,D
Mercury_7268100,Train,easy,Which of these living things in a grassland ecosystem depend on the presence of a variety of bacteria and other microorganisms in the soil? , worms only , green plants only , plants and animals only , all the organisms in the ecosystem,D
Mercury_SC_405295,Train,easy,The number of fish in a lake suddenly increases. How will the increase most likely affect the lake? , There will be less water in the lake. , More plants will grow in the lake. , More frogs will live in the lake. , There will be fewer insects in the lake.,D
NCEOGA_2013_5_44,Train,easy,Which process allows green plants to control the amount of water stored in their leaves? , photosynthesis , condensation , respiration , transpiration,D
Mercury_7216930,Train,easy,A new mutation that occurs in which type of cell can be passed on to offspring? , blood cell , nerve cell , brain cell , egg cell,D
Mercury_184083,Train,easy,Which of these provides the best evidence that the distribution of Earth's oceans has changed over time? , hot spots on ocean floors , seismic activity along plate boundaries , sediment buildup on continental slope , marine fossils found on land masses,D
MCAS_2003_5_5,Train,easy,A caterpillar changing into a butterfly is an example of , instinct. , duplication. , reproduction. , metamorphosis.,D
MCAS_2006_9_18,Train,easy,A single prokaryotic cell can divide several times in an hour. Few eukaryotic cells can divide as quickly. Which of the following statements best explains this difference? , Eukaryotic cells are smaller than prokaryotic cells. , Eukaryotic cells have less DNA than prokaryotic cells. , Eukaryotic cells have more cell walls than prokaryotic cells. , Eukaryotic cells are more structurally complex than prokaryotic cells.,D
Mercury_7029488,Train,easy,"In the human body, what part of the central nervous system connects with other nerves outside of the central nervous system? ", dendrite , cerebrum , cerebellum , spinal cord,D
Mercury_7014123,Train,easy,Oxygen reacts with iron to produce rust and with hydrogen to produce water. Which statement describes both reactions? , A different mixture is formed in each case. , A different solution is formed in each case. , Both a change of state and of elements is involved. , New molecules are formed but the same elements exist.,D
Mercury_7013440,Train,easy,A student uses a telescope to view stars at night. The student notices some of the stars are different colors. The color of a star is determined most by its , size. , distance from Earth. , mass. , temperature.,D
Mercury_SC_408557,Train,easy,Sarah's class is learning about mixtures and solutions. Her teacher writes four statements on the board. Which statement best describes a mixture? , Both substances mix evenly. , Both substances can evaporate. , One substance dissolves into another. , One substance can be separated from the other.,D
Mercury_7009695,Train,easy,The theory of spontaneous generation was eventually disproved scientifically by , arguments in philosophy. , chemical analysis of material. , examining models of the process. , conducting a controlled experiment.,D
Mercury_7220308,Train,easy,"Discarded electronic devices, such as outdated computers and cell phones, contain materials that can be toxic to the environment. Which statement best explains why humans continue to use these technologies? ", Electronics have become less expensive over time. , Some areas have recycling programs for electronics. , Industries that produce electronics help the economy. , Humans value the benefits of these devices over their cost.,D
NYSEDREGENTS_2011_4_11,Train,easy,A student crumples up a sheet of paper. Which property of the paper has changed? , color , mass , state , shape,D
ACTAAP_2008_5_3,Train,easy,Which would best aid a scientist in discovering how Earth may have changed over time? , finding the nest of a bald eagle , tracking the footprints of a wolf , analyzing the pollination of a sunflower , discovering a fossil of a seashell in a wooded area,D
Mercury_7170345,Train,easy,"After mining removes layers of rock from a hillside, new plants begin to grow in the cracks of the bare rock. The plants beginning to grow are an example of which natural process? ", secondary succession in an existing ecosystem , new species developing in an ecosystem , species competition in a community , primary succession in a new habitat,D
MEAP_2005_5_39,Train,easy,"In a container, a mixture of water and salt is stirred so that the salt dissolves completely. Sand is added to this solution and allowed to settle to the bottom of the container. If the container is placed on a heat source and the liquid evaporates completely, what will be left in the container? ", Nothing will remain in the container. , Only salt will remain in the container. , Only sand will remain in the container. , Salt and sand will both remain in the container.,D
Mercury_181510,Train,easy,Which of the following helped lead to the invention of personal computers? , Internet , keyboard , wireless transmitter , integrated circuit,D
Mercury_7203263,Train,easy,"Deforestation in the rainforest can lead to localized extinctions of populations of some organisms. Once an area is deforested, which is most likely to decrease and result in organisms' extinctions? ", the amount of annual rainfall , competition between consumers , the energy available to producers , diversity of the resources in the habitat,D
Mercury_192255,Train,easy,"When the pesticide DDT was first used, it killed nearly every mosquito it touched. Within a few years, however, many mosquitoes became resistant to DDT and survived. What enabled this to happen? ", meiosis , migration , immune responses , gene mutations,D
Mercury_7180915,Train,easy,A student learns that one year on Mercury is about 88 Earth days. This means it takes 88 Earth days for Mercury to  , travel in orbit around its moon. , complete one rotation on its axis. , switch orbits with the nearest planet. , make one complete orbit around the Sun.,D
Mercury_401021,Train,easy,"When a student uses the equation, mass multiplied by change in temperature multiplied by specific heat, what is being calculated? q = m \times C \times \Delta T ", a phase change , stored energy , heat convection , heat gain or heat loss,D
Mercury_7214305,Train,easy,Which rock is most likely to contain fossil seashells? , basalt , gneiss , granite , limestone,D
TIMSS_2003_4_pg28,Train,easy,Which of these is hottest? , The Earth , Mars , The Moon , The Sun,D
Mercury_SC_417676,Train,easy,Which of these objects is visible because it reflects light toward the eye? , burning candle , flashlight bulb , glowing campfire log , shiny metallic balloon,D
Mercury_400219,Train,easy,Which dog trait is a learned behavior? , blinking its eyes , scratching an itch , panting to cool off , jumping to catch a ball,D
Mercury_SC_406702,Train,easy,A lizard most likely would be protected from its enemies if it has which characteristic? , claws to catch prey , a long tail to climb trees , eyes that can see far distances , skin color that matches its habitat,D
Mercury_SC_409264,Train,easy,How has the invention of the personal computer helped people the most? , by replacing paper , by reducing pollution , by improving transportation , by increasing communication,D
MDSA_2007_4_4,Train,easy,Natural processes shape the surface of Earth. Most canyons are formed by ___. , ice , plants , steady winds , moving water,D
CSZ20146,Train,easy,Which of the following is a living component of a desert in California? , low rainfall , hot temperature , polar bear , horned lizard,D
Mercury_7263603,Train,easy,Which involves the greatest variety of cell types? , a tissue , an organ , an organ system , an organism,D
VASoL_2010_3_29,Train,easy,People can help keep a forest a good place for birds to live by , dumping garbage in a small part of the forest , building a road through the middle of the forest , burning dead trees to make smoke in the air , preventing too many trees from being cut down,D
Mercury_7097878,Train,easy,Which statement explains what will most likely happen to the hydrosphere in an area where air temperatures increase? , Earthquake intensity will decrease. , Mountain formation will decrease. , Rock weathering will increase. , Evaporation will increase.,D
Mercury_7156520,Train,easy,Helen is preparing a presentation about objects in the solar system. She includes facts about the order of the planets and their distances from the Sun. Which statement could she include in an accurate presentation? , Mars is closer to the Sun than Earth. , Neptune is one light-year from the Sun. , Jupiter is farther from the Sun than Uranus. , Earth is one astronomical unit from the Sun.,D
Mercury_7043925,Train,easy,Sound waves can pass through all of these except , air. , steel. , water. , a vacuum.,D
Mercury_SC_402041,Train,easy,Why is it important to repeat an experiment several times? , to use up all the materials , to give all the students the chance to participate , to collect more data to fit the hypothesis , to determine if the results are similar,D
Mercury_7223020,Train,easy,NASA's Kepler Mission has collected information about main-sequence stars with characteristics similar to the Sun. What is the most common color of these stars? , blue , white , red , yellow,D
NYSEDREGENTS_2016_4_19,Train,easy,Which property of an object can be described as smooth? , color , odor , size , texture,D
Mercury_7239348,Train,easy,Which of the following best explains what will occur when a population grows larger than the carrying capacity of its environment? , The emigration rate will decrease. , The competition rate will decrease. , The birth rate will increase. , The death rate will increase.,D
Mercury_7044170,Train,easy,The islands in the mid-Pacific Ocean region were formed by , land subsidence. , deposition from currents. , wind and water erosion. , volcanic activity.,D
NYSEDREGENTS_2004_4_15,Train,easy,A mother hen clucks loudly when danger is near and her chicks quickly gather around her. Which sense helps the chicks receive this warning about danger from their mother? , smell , taste , sight , sound,D
Mercury_SC_400852,Train,easy,Grooves running down the sides of a riverbank are most likely caused by , wind. , rocks. , leaves. , rainwater.,D
Mercury_7186585,Train,easy,Changes to abiotic factors in an environment can impact biotic factors. Which statement is the BEST example of this situation? , Heavy rainfall increases soil erosion. , Melting glaciers cause sea levels to rise. , Cold temperatures cause rocks to weather. , Drought conditions increase competition among consumers.,D
Mercury_7228760,Train,easy,Unequal distribution of the hormone auxin in plants helps to regulate the direction of plant growth. Which of the following is accomplished by plants in regulating the distribution of auxin? , pollination of flowers , transportation of nutrients , discouraging predation , responding to the environment,D
NCEOGA_2013_8_31,Train,easy,Ten people became sick with the flu after attending a school dance. What is the scenario that could best explain how the people got sick? , contact with environmental sources , contact with an infected animal , contact with a contaminated object , contact with an infected person,D
Mercury_LBS10959,Train,easy,A student is measuring the distance a car travels down a ramp using yards. Which measurement is most similar in length when using the metric system of measurement? , centimeter , kilometer , millimeter , meter,D
TIMSS_2011_8_pg111,Train,easy,During which chemical process is energy absorbed? , iron nails rusting , candles burning , vegetables rotting , plants photosynthesizing,D
Mercury_178640,Train,easy,"When two nuclei are combined into one nucleus, there is a slight change in mass and the release of a large amount of energy. What is this process called? ", conversion , reaction , fission , fusion,D
Mercury_7219310,Train,easy,What types of cells are found only in organisms that reproduce sexually? , blood cells , neurons , skin cells , gametes,D
Mercury_401752,Train,easy,Which function is a role of a feedback system? , stimulation of appetite , identification of gender , determination of blood type , regulation of growth in the skeletal system,D
Mercury_7228638,Train,easy,Which technique will researchers studying the inheritance patterns of various disorders most likely use? , cladogram , DNA fingerprinting , gel electrophoresis , chromosomal analysis,D
Mercury_7128783,Train,easy,"If a lake is polluted, which organism would most likely accumulate the highest concentration of contaminants? ", bass , minnows , aquatic plants , fish-eating birds,D
Mercury_182385,Train,easy,In which process is nitrogen from the air put into a form that plants can use? , nitrification , denitrification , nitrogen saturation , nitrogen fixation,D
Mercury_7024325,Train,easy,Which event would most likely occur if the number of nitrogen fixing bacteria were reduced within an ecosystem? , plants would have more nitrates to take up , plants and animals would decompose faster , high levels of ammonia would accumulate in the soil , the level of nitrogen gas in the atmosphere would increase,D
ACTAAP_2014_7_9,Train,easy,Which method could be used to separate a solution of table salt and water? , mixing , settling , filtration , evaporation,D
Mercury_SC_400022,Train,easy,What happens when oil is placed in water? , Some oil sinks below the surface. , Oil droplets form in the water. , The oil and water mix together. , The oil floats on top of the water.,D
MCAS_2010_5_11990,Train,easy,Which of the following best describes the climate of an area? , the high temperature and wind speed for six months , the high temperature and wind speed each day for one year , the temperature and precipitation every hour for one day , the average temperature and total precipitation each month for ten years,D
Mercury_SC_402048,Train,easy,What happens when oil and water are mixed? , The mixture changes color. , The water becomes cloudy. , The oil dissolves in the water. , The oil and water remain separate.,D
MDSA_2009_5_46,Train,easy,Students measure the time for toy cars of different masses to roll down a hill. Which of the following units should the students use to measure time? , centimeters , grams , milliliters , seconds,D
Mercury_LBS11005,Train,easy,A homeowner wants to use a renewable resource to heat the home. Which resource would be the best to use? , coal , gas , oil , solar,D
Mercury_7071453,Train,easy,A researcher observes that an organism placed in a glass container filled with water moves away when a penlight is focused on the container. The researcher concludes that the organism is light sensitive. Which other explanation for the organism's response to the light is most possible? , The organism avoids radio waves. , The organism avoids gamma rays. , The organism moves away from vibrations. , The organism moves away from heat sources.,D
NYSEDREGENTS_2005_4_4,Train,easy,Which behavior is an example of an animal adapting to a change in the environment? , a squirrel climbing a tree , a rabbit feeding its young , a frog eating an insect , a bird migrating south,D
Mercury_7168193,Train,easy,Mitochondria are cell organelles that play a large role in energy processes within the body. Which cells are most likely to have a greater amount of mitochondria? , skin , bone , blood , muscle,D
Mercury_SC_400328,Train,easy,Which item is used for protection from chemical splashing? , compass , hand lens , microscope , safety goggles,D
Mercury_SC_400051,Train,easy,"When a guitar string is plucked, sound is produced by ", the size of the guitar. , the metal on the guitar. , the wood on the guitar. , the vibrations of the string.,D
Mercury_SC_408575,Train,easy,Angelo wants to know if the volume of water changes when it freezes. He measures the volume of water in its liquid state and then freezes it. Which tool did Angelo most likely use to measure the volume of the water? , a microscope , a thermometer , a balance scale , a graduated cylinder,D
MCAS_2007_8_5192,Train,easy,Which of the following describes a reason why companies irradiate some fruits and vegetables before they are sold to the public? , to improve the flavors by increasing the sugar content , to speed up the ripening of produce picked too early , to partially cook the produce before canning or freezing , to extend the shelf life by killing existing microorganisms,D
Mercury_7103635,Train,easy,"A student notices dogs have more fleas in the summer than in the winter. Based on these observations, which is the most logical question for the student to investigate? ", How does wind affect the amount of fleas on dogs? , How does diet affect the amount of fleas on dogs? , How does rain affect the amount of fleas on dogs? , How does temperature affect the amount of fleas on dogs?,D
Mercury_SC_405886,Train,easy,"In the morning, students observed puddles of water all over the playground. What would best explain why the playground was dry in the afternoon? ", Animals drank the water. , The wind stopped blowing. , Someone dried the puddles. , The water evaporated during the day.,D
Mercury_183138,Train,easy,What relationship exists between a dog and its fleas? , commensalism , gradualism , mutualism , parasitism,D
AKDE&ED_2012_4_44,Train,easy,Which tool would best help a person observe the parts of a plant cell? , hand lens , telescope , binoculars , microscope,D
MCAS_2007_8_5159,Train,easy,Which of the following groups of organisms uses sunlight to convert carbon dioxide and water into sugar and oxygen? , carnivores , decomposers , herbivores , producers,D
Mercury_176925,Train,easy,"A group of vertebrates has lungs, a body covered with scales, internal fertilization, and amniotic eggs. Which group of vertebrates does this describe? ", amphibians , birds , mammals , reptiles,D
Mercury_7058048,Train,easy,"The brain, spinal cord, and nerves are organs that perform which primary function? ", supporting the body and enabling it to move ," transporting oxygen, wastes, and nutrients throughout the body ", producing male and female gametes , conducting messages to coordinate body functions,D
NCEOGA_2013_5_7,Train,easy,A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? , combustion , convection , radiation , conduction,D
MCAS_2004_8_4,Train,easy,"In making a pizza, which process involves a chemical change? ", mixing spices for the sauce , slicing pepperoni for the topping , spreading cheese on the pizza , baking the dough to form the crust,D
NAEP_2009_4_S11+5,Train,easy,Which statement explains why light from the Sun can warm up water in a glass? , Light travels very fast. , Light travels in straight lines. , Water reflects light energy. , Water absorbs light energy.,D
Mercury_401338,Train,easy,Which characteristic is an example of learned behavior? , a bear hibernating in the winter , a spider spinning a web in a tree , a butterfly migrating to the south , a dog scratching at a door to go out,D
Mercury_405468,Train,easy,Which of these is a negative effect associated with some types of new technology? , increased worker productivity , faster diagnosis of medical problems , less time required to find information , decreased physical activity,D
NYSEDREGENTS_2011_4_26,Train,easy,What is the main source of energy for the water cycle? , electricity , erosion , gravity , sunlight,D
NYSEDREGENTS_2011_4_8,Train,easy,Which sense is used to determine an object's texture? , hearing , smell , taste , touch,D
Mercury_175665,Train,easy,Which of the following allows materials to enter and leave a cell? , cell wall , mitochondria , vacuole , cell membrane,D
Mercury_SC_401776,Train,easy,Which element is necessary for the formation of coal? , crushed rocks , flowing water , dead animals , decaying vegetation,D
Mercury_7213658,Train,easy,"Which system supports the body, protects internal organs, and makes blood cells? ", muscular system , circulatory system , nervous system , skeletal system,D
Mercury_SC_LBS11002,Train,easy,A student is writing a report on volcanoes. What should the student include to best help explain how a volcano works? , a photograph of an active volcano , a map showing the location of a volcano , a table of famous volcanoes and last known eruptions , a diagram showing the structure of a volcano,D
Mercury_7017150,Train,easy,Which energy conversion process occurs whenever coal is burned? , mechanical to electrical , mechanical to thermal , chemical to electrical , chemical to thermal,D
Mercury_SC_410899,Train,easy,Claudia's teacher places a photograph of an organism on the board. He asks Claudia to determine if the organism is a plant or an animal. The answer to which question will best help Claudia determine if the organism is a plant or an animal? , Does the organism have cells? , Does the organism reproduce? , Does the organism live in the forest? , Does the organism make its own food?,D
Mercury_7085505,Train,easy,"Which of these structures form when materials are deposited, buried, and cemented? ", intrusive structures , metamorphic rocks , volcanic mountains , sedimentary rocks,D
NCEOGA_2013_5_40,Train,easy,Which are examples of inherited traits? , specific beliefs , fingerprints , memories , nose shape,D
Mercury_185045,Train,easy,"According to Darwin's theory of evolution, the variations among finches that he observed in the Galapagos Islands resulted from ", transmission of acquired characteristics. , use or disuse of their beaks. , natural mutagens. , natural selection.,D
Mercury_7181598,Train,easy,The Sun is a medium-sized star and is expected to continue to perform nuclear fusion for five billion years. What is most likely to be the final stage of the Sun? , supernova , supergiant , neutron star , white dwarf,D
Mercury_7012898,Train,easy,Which statement is the best description of the Milky Way galaxy? , a collection of gases held together by inertia , a group of planets revolving around a single star , a collection of stars and gases with the Sun as its center ," a group of stars, dust, and planets held together by gravity",D
Mercury_7252280,Train,easy,"When specific hormones are present in the blood of a hen, an egg is released from an ovary. Which two systems are involved with the release of an egg? ", immune and digestive systems , digestive and endocrine systems , reproductive and immune systems , endocrine and reproductive systems,D
Mercury_7109673,Train,easy,Onions can reproduce from bulbs. One parent bulb generates daughter bulbs with duplicate genetic information. Which is the most likely advantage of this kind of reproduction? , Population size remains constant. , Beneficial mutations are inevitable. , Genetic variation is maximized. , Large quantities of individuals can be produced rapidly.,D
MCAS_2006_9_23-v1,Train,easy,The water contained in a geyser system gains energy from the underground material surrounding it. The water molecules gain kinetic energy and this results in an increase in the pressure of the water. Eventually the geyser erupts and expels water into the air above ground. Which of the following types of energy is the source for the initial energy gain of the water? , electrical , magnetic , mechanical , thermal,D
Mercury_7163118,Train,easy,"In a laboratory activity, four different types of rock were placed in identical acid solutions for one week. Each sample was then measured to see if any of the rock mass was dissolved by the acid solution. Which is the dependent (responding) variable in this activity? ", the mass of each rock , the type of rock tested , the length of time of the test , the amount of dissolved rock,D
Mercury_7001820,Train,easy,"Two seismographs are placed 500 km from an active fault line, one on each side of the active fault line. During an earthquake, what most likely accounts for the different readings on the seismographs? ", the pull of gravity on the waves , the interaction of light with waves , the differences in the strength of the waves' origins , the different media through which the waves travel,D
Mercury_SC_410875,Train,easy,Burning coal and natural gas are ways to produce electricity. Both coal and natural gas are nonrenewable resources. Which is an example of producing electricity using a renewable source of energy? , using food pieces to make compost , gliding a boat through the water using sails , putting an energy-saving lightbulb in a lamp , heating a home with energy collected by solar panels,D
Mercury_7093118,Train,easy,Gasoline for cars is produced from fossil fuels. Using gasoline can most likely lead to which environmental problem? , soil erosion , water pollution , wildlife extinction , global warming,D
Mercury_SC_LBS10945,Train,easy,"When animals use energy, they produce ", nitrogen , iron sulfide , oxygen , carbon dioxide,D
Mercury_7138583,Train,easy,Which organ directly works to protect the human body from disease? , heart , kidney , pancreas , skin,D
Mercury_7271338,Train,easy,Which of these is the best definition of heredity? , the transfer of learning from one generation to the next , the transfer of visible features from one generation to the next , the passage of dominant genes from one generation to the next , the passage of genetic information from one generation to the next,D
MCAS_2005_9_2-v1,Train,easy,Which of the following describes how a microwave oven heats food? , The oven's interior reflects heat onto the food. ," The oven's interior, like a lens, focuses heat onto the food. ", Water molecules in the food reflect energy from microwave radiation. , Water molecules in the food absorb the energy of microwave radiation.,D
Mercury_SC_410961,Train,easy,A class learns about weather. The students in the class measure the outside air temperature at the same time each day. Which way of measuring the temperature would provide the most accurate data? , taking the measurement in the shade , placing the thermometer on the ground , taking a measurement using a different tool each day , recording the measurements from three thermometers,D
Mercury_182858,Train,easy,Who was the first person to base a system of classification on organisms having similar structures? , Aristotle , Darwin , Einstein , Linnaeus,D
Mercury_7135870,Train,easy,Which is an example of a chemical change? , sand separated from water by filtering , water evaporating from a puddle , a rock being eroded by wind , a nail rusting in water,D
Mercury_7218330,Train,easy,Which of these is a renewable resource found in Nevada? , zinc metal , gravel deposits , petroleum products , geothermal energy,D
Mercury_7206413,Train,easy,Which of these is unique to the process of scientific investigation? , observing an event as it occurs , discussing results with other experts , publishing the results on a webpage , collecting data in an experiment,D
Mercury_SC_408027,Train,easy,Anthony and Zach want to know how the temperature of the air affects the temperature of lake water. Which type of tool should they use to measure the temperatures? , balance , ruler , scale , thermometer,D
ACTAAP_2013_5_2,Train,easy,Which serve as evidence for a scientific theory? , guesses , opinions , arguments , observations,D
MCAS_2007_8_5170,Train,easy,Which of the following identifies the primary function of a radio station tower in a communication system? , decoder , encoder , receiver , transmitter,D
MSA_2012_8_35,Train,easy,"The human body is composed of different systems made of specialized cells, tissues, and organs. Each of these structures has a specific function that aids in the survival of the human species. Which organs are used in reproduction? "," brain, spinal cord, and eyes "," lungs, esophagus, and heart "," mouth, stomach, and gallbladder "," ovaries, uterus, and fallopian tubes",D
Mercury_417474,Train,easy,The scientific name for a giraffe is Giraffa camelopardalis. What two levels of classification does this name represent? , family and order , kingdom and genus , phylum and domain , genus and species,D
Mercury_7011375,Train,easy,The measure of the amount of light received on Earth from a star is known as , parallax. , redshift. , absolute magnitude. , apparent magnitude.,D
